Station Name,Latitude,Longitude,Location
Springfield Ave & 47th St,41.8080713,-87.7212202,POINT (-87.7212202 41.8080713)
Clinton St & Tilden St,41.875885,-87.640795,POINT (-87.640795 41.875885)
Carpenter St & Huron St,41.894556,-87.653449,POINT (-87.653449 41.894556)
Lincoln Ave & Addison St,41.946176,-87.673308,POINT (-87.673308 41.946176)
Western Ave & 104th St,41.7045871022,-87.6812034845,POINT (-87.681203484535 41.704587102189)
Harding Ave & 31st St,41.83672,-87.72303,POINT (-87.72303 41.83672)
Halsted St & Roscoe St,41.94367,-87.64895,POINT (-87.64895 41.94367)
Monitor Ave & Division St,41.90192,-87.77178,POINT (-87.77178 41.90192)
Kedzie Ave & George St,41.933886,-87.707262,POINT (-87.707262 41.933886)
Sangamon St & Washington Blvd,41.883165,-87.6511,POINT (-87.6511 41.883165)
Damen Ave & Madison St,41.88137,-87.67493,POINT (-87.67493 41.88137)
Narragansett Ave & School St,41.940128,-87.7864806,POINT (-87.7864806 41.940128)
Wentworth Ave & 35th St,41.830777,-87.632504,POINT (-87.632504 41.830777)
Western Ave & Fillmore St,41.868563,-87.686234,POINT (-87.686234 41.868563)
California Ave & North Ave,41.910044,-87.697167,POINT (-87.697167 41.910044)
Clarendon Ave & Gordon Ter,41.9578665242,-87.6495051384,POINT (-87.649505138397 41.957866524152)
Sheridan Rd & Columbia Ave,42.004583,-87.661406,POINT (-87.661406 42.004583)
Evanston Civic Center,42.057044,-87.686554,POINT (-87.686554 42.057044)
Kenneth Ave & Lawrence Ave,41.967943,-87.739983,POINT (-87.739983 41.967943)
Sacramento Blvd & Polk St,41.870959,-87.700259,POINT (-87.700259 41.870959)
Hoyne Ave & 47th St,41.808227,-87.67718,POINT (-87.67718 41.808227)
Central Ave & Roscoe St,41.942275,-87.76695,POINT (-87.76695 41.942275)
Lincoln Ave & Sunnyside Ave,41.963004,-87.684781,POINT (-87.684781 41.963004)
Washtenaw Ave & Polk St,41.8711028,-87.693683,POINT (-87.693683 41.8711028)
University Ave & 57th St,41.791478,-87.599861,POINT (-87.599861 41.791478)
State St & 19th St,41.856594,-87.627542,POINT (-87.627542 41.856594)
21st St & Pulaski Rd,41.8534420759,-87.7246284974,POINT (-87.72462849737 41.853442075882)
Latrobe Ave & Chicago Ave,41.894745,-87.756895,POINT (-87.756895 41.894745)
Hermitage Ave & Polk St,41.871514,-87.669886,POINT (-87.669886 41.871514)
Halsted St & 21st St,41.8537798107,-87.6466029882,POINT (-87.646602988243 41.853779810727)
Clarendon Ave & Junior Ter,41.961004,-87.649603,POINT (-87.649603 41.961004)
Prairie Ave & Garfield Blvd,41.794853,-87.618691,POINT (-87.618691 41.794853)
N Clark St & W Elm St,41.902901,-87.631282,POINT (-87.631282 41.902901)
Kingsbury St & Kinzie St,41.8891768326,-87.6385057718,POINT (-87.6385057718 41.88917683258)
Dodge Ave & Church St,42.048308,-87.698224,POINT (-87.698224 42.048308)
Desplaines St & Kinzie St,41.888716036,-87.6444478533,POINT (-87.6444478533 41.888716036)
Francisco Ave & 85th St,41.738902,-87.695518,POINT (-87.695518 41.738902)
North Boundary Park,42.01303,-87.70891,POINT (-87.70891 42.01303)
Broadway & Barry Ave,41.937582316,-87.644097805,POINT (-87.644097805023 41.937582316006)
Lavergne Ave & Lawrence Ave,41.96775,-87.75259,POINT (-87.75259 41.96775)
Clinton St & Roosevelt Rd,41.8671177825,-87.6410879593,POINT (-87.6410879593 41.8671177825)
Michigan Ave & 8th St,41.872773,-87.623981,POINT (-87.623981 41.872773)
Aberdeen St & Monroe St,41.880419,-87.655519,POINT (-87.655519 41.880419)
Western Ave & Division St,41.902893,-87.687275,POINT (-87.687275 41.902893)
Damen Ave & Leland Ave,41.967081,-87.679076,POINT (-87.679076 41.967081)
Evans Ave & 75th St,41.75849,-87.60641,POINT (-87.60641 41.75849)
Hyacinth Ave & Milwaukee Ave,41.99282,-87.78377,POINT (-87.78377 41.99282)
Clark St & Winnemac Ave,41.9733476405,-87.6678554714,POINT (-87.667855471373 41.973347640473)
Cottage Grove Ave & 78th St,41.753174,-87.605026,POINT (-87.605026 41.753174)
Marine Dr & Ainslie St,41.9716,-87.650154,POINT (-87.650154 41.9716)
Ashland Ave & 50th St,41.803023,-87.664699,POINT (-87.664699 41.803023)
Maplewood Ave & Peterson Ave,41.9902360287,-87.6933696402,POINT (-87.6933696402 41.99023602867)
Blue Island Ave & 18th St,41.857556,-87.661535,POINT (-87.661535 41.857556)
Kedzie Ave & 104th St,41.7037764,-87.7013952,POINT (-87.7013952 41.7037764)
Lawndale Ave & 16th St,41.8591606,-87.7176965,POINT (-87.7176965 41.8591606)
Milwaukee Ave & Highland Ave,41.99636,-87.78674,POINT (-87.78674 41.99636)
Sheffield Ave & Waveland Ave,41.949399,-87.654529,POINT (-87.654529 41.949399)
State St & Van Buren St,41.877181,-87.627844,POINT (-87.627844 41.877181)
Clark St & Jarvis Ave,42.015963,-87.675005,POINT (-87.675005 42.015963)
Ashland Ave & 66th St,41.774074,-87.663815,POINT (-87.663815 41.774074)
Rockwell St & Cermak Rd,41.851644,-87.690621,POINT (-87.690621 41.851644)
California Ave & Altgeld St,41.92669,-87.697668,POINT (-87.697668 41.92669)
Broadway & Thorndale Ave,41.9897425114,-87.6601406209,POINT (-87.6601406209 41.98974251144)
Rockwell St & 63rd St,41.7787905,-87.6885894,POINT (-87.6885894 41.7787905)
Ogden Ave & Race Ave,41.891795,-87.658751,POINT (-87.658751 41.891795)
Oketo Ave & Addison St,41.94496,-87.81189,POINT (-87.81189 41.94496)
Bernard St & Elston Ave,41.949923,-87.713949,POINT (-87.713949 41.949923)
Wolcott (Ravenswood) Ave & Montrose Ave,41.961406,-87.676169,POINT (-87.676169 41.961406)
Southport Ave & Clybourn Ave,41.9215759,-87.6664335,POINT (-87.6664335 41.9215759)
Springfield Ave & North Ave,41.910158,-87.723831,POINT (-87.723831 41.910158)
Plainfield & Irving Park,41.952037,-87.833283,POINT (-87.833283 41.952037)
Kosciuszko Park,41.9305853714,-87.7237773635,POINT (-87.7237773635 41.93058537138)
Stave St & Armitage Ave,41.917741,-87.691392,POINT (-87.691392 41.917741)
Fairfield Ave & Roosevelt Rd,41.866624,-87.694521,POINT (-87.694521 41.866624)
Burley Ave & 85th St,41.74117,-87.54518,POINT (-87.54518 41.74117)
Emerald Ave & 31st St,41.838198,-87.645143,POINT (-87.645143 41.838198)
Warren Park East,42.0045496219,-87.6806661451,POINT (-87.6806661451 42.00454962194)
Kedzie Ave & Harrison St,41.8735996746,-87.7048707493,POINT (-87.7048707493 41.87359967462)
Cicero Ave & Lake St,41.886841,-87.745261,POINT (-87.745261 41.886841)
Karlov Ave & Madison St,41.88085,-87.727907,POINT (-87.727907 41.88085)
Lincoln Park Conservatory,41.9239313114,-87.6358245313,POINT (-87.635824531317 41.923931311366)
Avondale Ave & Irving Park Rd,41.953393,-87.732002,POINT (-87.732002 41.953393)
Big Marsh Park,41.6858770556,-87.5738239288,POINT (-87.573823928833 41.685877055623)
Dayton St & North Ave,41.9105780349,-87.6494219288,POINT (-87.6494219288 41.9105780349)
Racine Ave & Fullerton Ave,41.925566,-87.658416,POINT (-87.658416 41.925566)
Ashland Ave & 13th St,41.865234,-87.666507,POINT (-87.666507 41.865234)
Conservatory Dr & Lake St,41.885502,-87.716866,POINT (-87.716866 41.885502)
Christiana Ave & Lawrence Ave,41.9683544936,-87.7118306675,POINT (-87.7118306675 41.96835449363)
Franklin St & Jackson Blvd,41.8777079559,-87.6353211408,POINT (-87.6353211408 41.8777079559)
California Ave & 29th St,41.840222,-87.694129,POINT (-87.694129 41.840222)
Cicero Ave & Flournoy St,41.872131,-87.746619,POINT (-87.746619 41.872131)
Fort Dearborn Dr & 31st St,41.838556,-87.608218,POINT (-87.608218 41.838556)
N Carpenter St & W Lake St,41.885586,-87.6531893,POINT (-87.6531893 41.885586)
Damen Ave & 81st St,41.746534,-87.673055,POINT (-87.673055 41.746534)
Richmond St & 59th St,41.78649,-87.69733,POINT (-87.69733 41.78649)
Western Ave & Lake St,41.88481,-87.68668,POINT (-87.68668 41.88481)
Leavitt St & Lawrence Ave,41.968885,-87.684001,POINT (-87.684001 41.968885)
Lincoln Ave & Melrose St,41.9406,-87.669435,POINT (-87.669435 41.9406)
Francisco Ave & Bloomingdale Ave,41.913959,-87.699368,POINT (-87.699368 41.913959)
Federal St & Polk St,41.8720776329,-87.6295437729,POINT (-87.6295437729 41.87207763285)
Cottage Grove Ave & 43rd St,41.816499,-87.606582,POINT (-87.606582 41.816499)
Kimball Ave & Belmont Ave,41.9393939534,-87.7120676637,POINT (-87.71206766367 41.939393953443)
Damen Ave & Clybourn Ave,41.931931,-87.677856,POINT (-87.677856 41.931931)
MLK Jr Dr & Pershing Rd,41.8246,-87.61678,POINT (-87.61678 41.8246)
Kedzie Ave & 110th St,41.6923947459,-87.7009606361,POINT (-87.700960636139 41.692394745876)
Clinton St & 18th St,41.85795,-87.640826,POINT (-87.640826 41.85795)
Lake Park Ave & 47th St,41.809443,-87.591875,POINT (-87.591875 41.809443)
Wrigley Events Parking Area,41.9472,-87.65395,POINT (-87.65395 41.9472)
Western Ave & 62nd St,41.780985,-87.6834204,POINT (-87.6834204 41.780985)
Knox Ave & Montrose Ave,41.960631,-87.745359,POINT (-87.745359 41.960631)
Damen Ave & 33rd St,41.834108,-87.67559,POINT (-87.67559 41.834108)
California Ave & Division St,41.903029,-87.697474,POINT (-87.697474 41.903029)
Daley Center Plaza,41.884241,-87.629634,POINT (-87.629634 41.884241)
N Southport Ave & W Newport Ave,41.944019,-87.663975,POINT (-87.663975 41.944019)
Franklin St & Adams St (Temp),41.8794340914,-87.6355040073,POINT (-87.635504007339 41.8794340914)
Lincoln Ave & Waveland Ave,41.948797,-87.675278,POINT (-87.675278 41.948797)
Western Ave & Lake St,41.884606,-87.685853,POINT (-87.685853 41.884606)
Ada St & Washington Blvd,41.88283,-87.661206,POINT (-87.661206 41.88283)
Portage Park,41.95607,-87.76472,POINT (-87.76472 41.95607)
Elston Ave & Cortland St,41.9164334291,-87.6667463779,POINT (-87.666746377945 41.916433429127)
Canal St & Taylor St,41.870257,-87.639474,POINT (-87.639474 41.870257)
Kostner Ave & 63rd St,41.77875,-87.73246,POINT (-87.73246 41.77875)
Phillips Ave & 83rd St,41.744531,-87.56506,POINT (-87.56506 41.744531)
Paulina St & Montrose Ave,41.961507,-87.671387,POINT (-87.671387 41.961507)
Dorchester Ave & 63rd St,41.7804056457,-87.5914159893,POINT (-87.5914159893 41.7804056457)
Central Ave & Madison St,41.880121,-87.763238,POINT (-87.763238 41.880121)
Calumet Ave & 18th St,41.8576175529,-87.6194107533,POINT (-87.61941075325 41.857617552938)
Vernon Ave & 75th St,41.758361,-87.614138,POINT (-87.614138 41.758361)
Halsted St & 119th St,41.67764,-87.64174,POINT (-87.64174 41.67764)
Talman Ave & Addison St,41.9466358306,-87.694614758,POINT (-87.694614758 41.9466358306)
Stewart Ave & 83rd St,41.743717,-87.634088,POINT (-87.634088 41.743717)
Cannon Dr & Fullerton Ave,41.9267559875,-87.6344287848,POINT (-87.6344287848 41.9267559875)
Ashland Ave & Blackhawk St,41.907066,-87.667252,POINT (-87.667252 41.907066)
Lakeview Ave & Fullerton Pkwy,41.925858,-87.638973,POINT (-87.638973 41.925858)
Central St Metra,42.063598,-87.69873,POINT (-87.69873 42.063598)
Keeler Ave & Roosevelt Rd,41.866402,-87.7300171,POINT (-87.7300171 41.866402)
Western Ave & Berteau Ave,41.95774,-87.688273,POINT (-87.688273 41.95774)
Sheffield Ave & Willow St,41.913688,-87.652855,POINT (-87.652855 41.913688)
LaSalle St & Adams St,41.8793443735,-87.6319852213,POINT (-87.6319852213 41.87934437346)
Stewart Ave & 63rd St,41.779835,-87.634774,POINT (-87.634774 41.779835)
Halsted St & 59th St,41.787539,-87.644874,POINT (-87.644874 41.787539)
Campbell Ave & 51st St,41.80094,-87.68676,POINT (-87.68676 41.80094)
Marmora Ave & Irving Park Rd,41.9531072,-87.7747326,POINT (-87.7747326 41.9531072)
Michigan Ave & 18th St,41.857926,-87.624336,POINT (-87.624336 41.857926)
Troy St & Grace St,41.950244,-87.706489,POINT (-87.706489 41.950244)
Weekend Night Parking Area C,41.94479,-87.64948,POINT (-87.64948 41.94479)
Weekend Night Parking Area D,41.94294,-87.64943,POINT (-87.64943 41.94294)
Broadway & Ridge Ave,41.9840446107,-87.6602738295,POINT (-87.6602738295 41.9840446107)
S Aberdeen St & W 106th St,41.701217,-87.649345,POINT (-87.649345 41.701217)
Campbell Ave & Irving Park Rd,41.953634,-87.690782,POINT (-87.690782 41.953634)
Weekend Night Parking Area B,41.94491,-87.65477,POINT (-87.65477 41.94491)
California Ave & Touhy Ave,42.0120368,-87.7004371,POINT (-87.7004371 42.0120368)
Benson Ave & Church St,42.048214,-87.683485,POINT (-87.683485 42.048214)
Milwaukee Ave & Grand Ave,41.891578,-87.648384,POINT (-87.648384 41.891578)
Western Ave & 81st St,41.746426,-87.683123,POINT (-87.683123 41.746426)
Avenue O & 134th St,41.6519026853,-87.5395553938,POINT (-87.539555393765 41.651902685321)
Clarendon Ave & Leland Ave,41.967968,-87.650001,POINT (-87.650001 41.967968)
Lincoln Ave & Roscoe St*,41.943350247,-87.6706677675,POINT (-87.670667767525 41.943350247017)
Desplaines St & Randolph St,41.883703,-87.644238,POINT (-87.644238 41.883703)
Central Park Ave & Douglas Blvd,41.86235,-87.71587,POINT (-87.71587 41.86235)
Kilpatrick Ave & Grand Ave,41.912732,-87.743636,POINT (-87.743636 41.912732)
Woodlawn & 103rd,41.707338,-87.59399,POINT (-87.59399 41.707338)
Marshfield Ave & 44th St,41.813996,-87.666589,POINT (-87.666589 41.813996)
McClurg Ct & Erie St,41.894503,-87.617854,POINT (-87.617854 41.894503)
Kildare Ave & Chicago Ave,41.8954357,-87.7334818,POINT (-87.7334818 41.8954357)
Greenwood Ave & 91st St,41.7282642682,-87.5972986221,POINT (-87.597298622131 41.728264268163)
Kilbourn Ave & Milwaukee Ave,41.9470708942,-87.740008235,POINT (-87.740008234978 41.947070894185)
Grace St & Cicero Ave,41.94973,-87.74695,POINT (-87.74695 41.94973)
Komensky Ave & 55th St,41.793279,-87.724189,POINT (-87.724189 41.793279)
Honore St & Division St,41.903119,-87.673935,POINT (-87.673935 41.903119)
Ping Tom Park (East),41.8579886,-87.6319447,POINT (-87.6319447 41.8579886)
Central St & Girard Ave,42.064313,-87.686152,POINT (-87.686152 42.064313)
Morgan Ave & 14th Pl,41.862378,-87.651062,POINT (-87.651062 41.862378)
Franklin St & Chicago Ave,41.89679,-87.63564,POINT (-87.63564 41.89679)
Mason Ave & Belmont Ave,41.9383682,-87.7725029,POINT (-87.7725029 41.9383682)
Lincoln Ave & Diversey Pkwy,41.932225,-87.658617,POINT (-87.658617 41.932225)
Racine Ave & 65th St,41.775393,-87.654308,POINT (-87.654308 41.775393)
Elston Ave & Henderson St,41.941499,-87.701051,POINT (-87.701051 41.941499)
Wood St & Webster Ave,41.9210567299,-87.6727974415,POINT (-87.672797441483 41.921056729928)
Greenwood Ave & 47th St,41.809835,-87.599383,POINT (-87.599383 41.809835)
Long Ave & Belden Ave,41.9227049,-87.760954,POINT (-87.760954 41.9227049)
Wells St & 19th St,41.856802,-87.633879,POINT (-87.633879 41.856802)
Princeton Ave & 95th St,41.72175,-87.63075,POINT (-87.63075 41.72175)
Ashland Ave & Chicago Ave,41.8959543573,-87.6677280664,POINT (-87.667728066444 41.895954357343)
Pulaski Rd & 68th St,41.76949,-87.72292,POINT (-87.72292 41.76949)
Washtenaw Ave & Lawrence Ave,41.9687297,-87.6962603,POINT (-87.6962603 41.9687297)
Menard Ave & North Ave,41.9097167,-87.7702037,POINT (-87.7702037 41.9097167)
Francisco Ave & Hollywood Ave,41.984746,-87.701593,POINT (-87.701593 41.984746)
Mango Ave & Diversey Ave,41.9309625,-87.7698856,POINT (-87.7698856 41.9309625)
Hampden Ct & Diversey Ave,41.9325593,-87.6423847,POINT (-87.6423847 41.9325593)
Spaulding Ave & Armitage Ave,41.9171080348,-87.7102209628,POINT (-87.710220962763 41.917108034789)
Central Ave & Harrison St,41.872993,-87.764499,POINT (-87.764499 41.872993)
Pulaski Rd & 54th St,41.79499,-87.72361,POINT (-87.72361 41.79499)
Drexel Ave & 60th St,41.785861,-87.604553,POINT (-87.604553 41.785861)
Aberdeen St & Randolph St,41.884114,-87.654264,POINT (-87.654264 41.884114)
Fairfield Ave & 44th St,41.813617,-87.6932272,POINT (-87.6932272 41.813617)
Granville Ave & Pulaski Rd,41.9924402,-87.7289072,POINT (-87.7289072 41.9924402)
Canal St & Harrison St,41.874255,-87.639573,POINT (-87.639573 41.874255)
Bennett Ave & 79th St,41.751785,-87.578496,POINT (-87.578496 41.751785)
California Ave & Milwaukee Ave,41.922695,-87.697153,POINT (-87.697153 41.922695)
Central Park Ave & Washington Blvd,41.8827476,-87.7153994,POINT (-87.7153994 41.8827476)
Larrabee St & Division St,41.90348607,-87.6433534936,POINT (-87.6433534936 41.90348607004)
Major Ave & Bloomingdale Ave,41.9125923,-87.7686995,POINT (-87.7686995 41.9125923)
Sheridan Rd & Lawrence Ave,41.969517,-87.654691,POINT (-87.654691 41.969517)
Leclaire Ave & Belmont Ave,41.939041,-87.754197,POINT (-87.754197 41.939041)
Central Ave & Chicago Ave,41.894958,-87.764902,POINT (-87.764902 41.894958)
Albany Ave & Bloomingdale Ave,41.9140267127,-87.705126462,POINT (-87.705126462 41.91402671273)
Wabash Ave & 49th St,41.80581,-87.6245,POINT (-87.6245 41.80581)
Harding Ave & Chicago Ave,41.895313,-87.724738,POINT (-87.724738 41.895313)
Wabash Ave & 9th St,41.870769,-87.625734,POINT (-87.625734 41.870769)
