DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location
N,Washington (O'Hare-bound),Washington,Washington (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.883164, -87.62944)"
W,Central (Harlem-bound),Central,Central (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.887389, -87.76565)"
E,Kedzie-Homan (O'Hare-bound),Kedzie-Homan,Kedzie-Homan (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.874341, -87.70604)"
S,Wilson (Loop-bound),Wilson,Wilson (Red & Purple lines),1,0,0,0,0,0,1,0,0,0,"(41.964273, -87.657588)"
N,63rd (Howard-bound),63rd,63rd (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.780536, -87.630952)"
W,H.W. Library (Inner Loop),Harold Washington Library-State/Van Buren,"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink lines)",1,0,0,0,0,0,1,0,1,1,"(41.876862, -87.628196)"
N,Kedzie (Loop-bound),Kedzie,Kedzie (Orange Line),1,0,0,0,0,0,0,0,0,1,"(41.804236, -87.704406)"
E,Laramie (63rd-bound),Laramie,Laramie (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.887163, -87.754986)"
S,87th (95th-bound),87th,87th (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.735372, -87.624717)"
W,Austin (Forest Pk-bound),Austin,Austin (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.870851, -87.776812)"
W,Western (Forest Pk Branch) (Forest Pk-bound),Western,Western (Blue Line - Forest Park Branch),0,0,1,0,0,0,0,0,0,0,"(41.875478, -87.688436)"
N,Western (Kimball-bound),Western,Western (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.966163, -87.688502)"
N,California (O'Hare-bound),California,California (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.921939, -87.69689)"
E,Forest Park (O'Hare-bound),Forest Park,Forest Park (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.874257, -87.817318)"
N,Washington/Wabash (Outer Loop),Washington/Wabash,"Washington/Wabash (Brown, Green, Orange, Purple & Pink lines)",1,0,0,1,1,0,0,0,0,0,"(41.88322, -87.626189)"
S,Main (Howard-Loop-bound),Main,Main (Purple Line),0,0,0,0,0,1,1,0,0,0,"(42.033456, -87.679538)"
N,Rosemont (O'Hare-bound),Rosemont,Rosemont (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.983507, -87.859388)"
S,Adams/Wabash (Inner Loop),Adams/Wabash,"Adams/Wabash (Brown, Green, Orange, Pink & Purple lines)",0,0,0,1,0,0,1,0,1,1,"(41.879507, -87.626037)"
S,Cermak-Chinatown (95th-bound),Cermak-Chinatown,Cermak-Chinatown (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.853206, -87.630968)"
S,51st (63rd-bound),51st,51st (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.80209, -87.618487)"
S,Berwyn (95th-bound),Berwyn,Berwyn (Red Line),0,1,0,0,0,0,0,0,0,0,"(41.977984, -87.658668)"
N,Harlem (O'Hare Branch) (O'Hare-bound),Harlem,Harlem (Blue Line - O'Hare Branch),1,0,1,0,0,0,0,0,0,0,"(41.98227, -87.8089)"
N,Belmont (O'Hare Branch) (O'Hare-bound),Belmont,Belmont (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.938132, -87.712359)"
E,Polk (Loop-bound),Polk,Polk (Pink Line),1,0,0,0,0,0,0,0,1,0,"(41.871551, -87.66953)"
