Price,Address,Listing URL,Short Address,Zip,Beds,Baths,Raw Property Details,Latitude,Longitude
970.0,"8416 S Cottage Grove Ave, Chicago, IL 60619",https://zillow.com//apartments/chicago-il/chatham-grove/5XjLP8/,8416 S  Cottage Grove Ave # 748-2E,60619,1.0,1.0,1 bds ,41.74171,-87.60532
970.0,"7624 S Kingston, 7624 S Kingston Ave UNIT 7628-3E, Chicago, IL 60649",https://www.zillow.com/apartments/chicago-il/7624-s-kingston/D4mx/,7624 S Kingston Ave UNIT 7628-3E,60649,2.0,1.0,2 bds | 1 ba | 750 sqft,41.756435,-87.56311
975.0,"745 E 84th Pl APT 1S, Chicago, IL 60619",https://www.zillow.com/homedetails/745-E-84th-Pl-APT-1S-Chicago-IL-60619/4019868_zpid/,745 E 84th Pl APT 1S,60619,1.0,1.0,1 bds | 1 ba | 650 sqft,41.74077,-87.60542
975.0,"6037 S Normal Blvd #1, Chicago, IL 60621",https://www.zillow.com/homedetails/6037-S-Normal-Blvd-1-Chicago-IL-60621/339983653_zpid/,6037 S Normal Blvd #1,60621,1.0,1.0,1 bds | 1 ba | 750 sqft,41.78416,-87.63738
975.0,"3325 W 61st Pl APT 1, Chicago, IL 60629",https://www.zillow.com/homedetails/3325-W-61st-Pl-APT-1-Chicago-IL-60629/442763615_zpid/,3325 W 61st Pl APT 1,60629,1.0,1.0,1 bds | 1 ba | 975 sqft,41.781395,-87.70682
975.0,"8101 S Maryland Ave #2, Chicago, IL 60619",https://www.zillow.com/homedetails/8101-S-Maryland-Ave-2-Chicago-IL-60619/447562494_zpid/,8101 S Maryland Ave #2,60619,1.0,1.0,1 bds | 1 ba ,41.74743,-87.603516
975.0,"5732-34 W Washington, 5732 W Washington Blvd #5734-G, Chicago, IL 60644",https://www.zillow.com/apartments/chicago-il/5732-34-w-washington/5Xjs6g/,5732 W Washington Blvd #5734-G,60644,1.0,1.0,1 bds | 1 ba | 650 sqft,41.882454,-87.76962
975.0,"5944 S Spaulding Ave UNIT 1, Chicago, IL 60629",https://www.zillow.com/homedetails/5944-S-Spaulding-Ave-UNIT-1-Chicago-IL-60629/2053152741_zpid/,5944 S Spaulding Ave UNIT 1,60629,1.0,1.0,1 bds | 1 ba ,41.784927,-87.70592
975.0,"4844-52 W Wrightwood Ave #2601-9, Elmwood Park, IL 60707",https://www.zillow.com/homedetails/4844-52-W-Wrightwood-Ave-2601-9-Elmwood-Park-IL-60707/2061147859_zpid/,4844-52 W Wrightwood Ave #2601-9,60707,0.0,1.0,Studio | 1 ba | 700 sqft,41.920452,-87.75598
975.0,"6160-6212 S Martin Luther King Dr, 6160 S Martin Luther King Dr #6212-1, Chicago, IL 60637",https://www.zillow.com/apartments/chicago-il/6160-6212-s-martin-luther-king-dr/ChMPYr/,6160 S Martin Luther King Dr #6212-1,60637,2.0,1.0,2 bds | 1 ba | 616 sqft,41.782753,-87.6157
980.0,"7209 S Yates Blvd APT 2B, Chicago, IL 60649",https://www.zillow.com/homedetails/7209-S-Yates-Blvd-APT-2B-Chicago-IL-60649/65576803_zpid/,7209 S Yates Blvd APT 2B,60649,1.0,1.0,1 bds | 1 ba | 750 sqft,41.76406,-87.56604
980.0,"2632 W 69th St #3, Chicago, IL 60629",https://www.zillow.com/homedetails/2632-W-69th-St-3-Chicago-IL-60629/440664893_zpid/,2632 W 69th St #3,60629,1.0,1.0,1 bds | 1 ba ,41.76851,-87.6897
980.0,"233 N Leamington Ave APT 3R, Chicago, IL 60644",https://www.zillow.com/homedetails/233-N-Leamington-Ave-APT-3R-Chicago-IL-60644/2093056644_zpid/,233 N Leamington Ave APT 3R,60644,2.0,1.0,2 bds | 1 ba | 750 sqft,41.88542,-87.753685
980.0,"3215 W 62nd Pl #1, Chicago, IL 60629",https://www.zillow.com/homedetails/3215-W-62nd-Pl-1-Chicago-IL-60629/2056316467_zpid/,3215 W 62nd Pl #1,60629,1.0,1.0,1 bds | 1 ba ,41.7795,-87.703835
984.0,"5326 S Cornell Ave, Chicago, IL 60615",https://zillow.com//apartments/chicago-il/the-victorian/BP8n/,5326 S  Cornell Ave Apt 201,60615,0.0,1.0,Studio ,41.798725,-87.58601
985.0,"Rogers Park Studio-incl. water, heat & cooking gas, 1528 W Pratt Blvd, Chicago, IL 60626",https://www.zillow.com/apartments/chicago-il/rogers-park-studio-incl.-water-heat-and-cooking-gas/5Xdnbk/,1528 W Pratt Blvd #0B-1BA-285SQFT,60626,0.0,1.0,Studio | 1 ba | 285 sqft,42.00575,-87.66902
985.0,"4354 W Roscoe St #G, Chicago, IL 60641",https://www.zillow.com/homedetails/4354-W-Roscoe-St-G-Chicago-IL-60641/2054610085_zpid/,4354 W Roscoe St #G,60641,0.0,1.0,Studio | 1 ba | 550 sqft,41.94288,-87.73689
985.0,"3352 N Claremont Ave #2, Chicago, IL 60618",https://www.zillow.com/homedetails/3352-N-Claremont-Ave-2-Chicago-IL-60618/2125467996_zpid/,3352 N Claremont Ave #2,60618,0.0,1.0,Studio | 1 ba ,41.942818,-87.687096
990.0,"6901 S Merrill Ave, Chicago, IL 60649",https://zillow.com//apartments/chicago-il/6901-s-merrill/Btv9/,6901 S  Merrill Ave # 6909-3W,60649,1.0,1.0,1 bds ,41.769688,-87.57219
990.0,"4759 S Paulina St UNIT 1, Chicago, IL 60609",https://www.zillow.com/homedetails/4759-S-Paulina-St-UNIT-1-Chicago-IL-60609/441851860_zpid/,4759 S Paulina St UNIT 1,60609,0.0,1.0,Studio | 1 ba ,41.80687,-87.66701
990.0,"4757 S Paulina St #1, Chicago, IL 60609",https://www.zillow.com/homedetails/4757-S-Paulina-St-1-Chicago-IL-60609/443431075_zpid/,4757 S Paulina St #1,60609,0.0,1.0,Studio | 1 ba ,41.806908,-87.667015
995.0,"1135 W. Pratt, 1135 W Pratt Blvd, Chicago, IL 60626",https://www.zillow.com/apartments/chicago-il/1135-w.-pratt/5XjZYs/,1135 W Pratt Blvd #1E3663A3F,60626,0.0,1.0,Studio | 1 ba ,42.005547,-87.65973
995.0,"6250 W 64th Pl, Chicago, IL 60638",https://zillow.com//b/6250-64th-place-chicago-il-Ch7VVX/,6250 W  64th Pl Apt 104,60638,0.0,1.0,Studio ,41.775265,-87.77829
995.0,"4806 N Kedzie Ave #105, Chicago, IL 60625",https://www.zillow.com/homedetails/4806-N-Kedzie-Ave-105-Chicago-IL-60625/447032974_zpid/,4806 N Kedzie Ave #105,60625,0.0,1.0,Studio | 1 ba ,41.96873,-87.70869
995.0,"Renovated 1 Bed, 1 Bath Garden Unit, 664 E 50th Pl, Chicago, IL 60615",https://www.zillow.com/b/renovated-1-bed-1-bath-garden-unit-chicago-il-9Ryp4b/,664 E 50th Pl #G,60615,1.0,1.0,1 bds | 1 ba | 650 sqft,41.8034,-87.60884
995.0,"4600-4608 N Beacon St, Chicago, IL 60640",https://zillow.com//apartments/chicago-il/4600-beacon/Cj4XhB/,4600-4608 N  Beacon St # 4604-4A,60640,0.0,1.0,Studio ,41.965546,-87.664314
995.0,"7400 S Yates, 7400 S Yates Blvd #2355-3, Chicago, IL 60649",https://www.zillow.com/apartments/chicago-il/7400-s-yates/5Xkt9n/,7400 S Yates Blvd #2355-3,60649,1.0,1.0,1 bds | 1 ba | 700 sqft,41.760616,-87.56676
995.0,"7604-06 S Union Ave - 7604 S Union Ave, Apt. 3, 7604 S Union Ave APT 3, Chicago, IL 60620",https://www.zillow.com/b/7604-06-s-union-ave-7604-s-union-ave-apt.-3-chicago-il-5XfyBJ/,7604 S Union Ave APT 3,60620,3.0,1.0,3 bds | 1 ba | 900 sqft,41.75587,-87.64208
995.0,"4735 N Beacon St, Chicago, IL 60640",https://zillow.com//apartments/chicago-il/4735-beacon/CTxf/,4735 N  Beacon St   Apt 206,60640,0.0,1.0,Studio ,41.968304,-87.66392
995.0,"7334 N Ridge Apartments, 7334 N Ridge Blvd APT 209, Chicago, IL 60645",https://www.zillow.com/apartments/chicago-il/7334-n-ridge-apartments/5XjjRS/,7334 N Ridge Blvd APT 209,60645,0.0,1.0,Studio | 1 ba | 581 sqft,42.015335,-87.68403
995.0,"7934 S Rhodes Ave, Chicago, IL 60619",https://zillow.com//b/7934-s-rhodes-ave-chicago-il-9hYP/,7934 S  Rhodes Ave Unit 1N,60619,1.0,1.0,1 bds ,41.75014,-87.611595
995.0,"4230-38 Michigan, 4230 S Michigan Ave #3N, Chicago, IL 60653",https://www.zillow.com/apartments/chicago-il/4230-38-michigan/DhML/,4230 S Michigan Ave #3N,60653,0.0,1.0,Studio | 1 ba | 650 sqft,41.817314,-87.623566
995.0,"1465 E 69th St APT 2B, Chicago, IL 60637",https://www.zillow.com/homedetails/1465-E-69th-St-APT-2B-Chicago-IL-60637/2081557771_zpid/,1465 E 69th St APT 2B,60637,1.0,1.0,1 bds | 1 ba | 700 sqft,41.768505,-87.58846
995.0,"5417 W Washington Blvd, Chicago, IL 60644",https://zillow.com//apartments/chicago-il/washington-lotus/Cjgw6n/,5417 W  Washington Blvd Apt 301,60644,1.0,1.0,1 bds ,41.88205,-87.76093
995.0,"1332 W Hood Ave, Chicago, IL 60660",https://zillow.com//apartments/chicago-il/1332-w-hood-llc/5XcFzc/,1332 W  Hood Ave  Apt 210,60660,0.0,1.0,Studio ,41.993843,-87.66417
997.0,"2937 S King Dr, Chicago, IL 60616",https://zillow.com//apartments/chicago-il/prairie-shores/CgGt65/,2937 S  King Dr # 4-0316,60616,0.0,1.0,Studio ,41.842545,-87.6167
1000.0,"8032 S Rhodes Ave #B, Chicago, IL 60619",https://www.zillow.com/homedetails/8032-S-Rhodes-Ave-B-Chicago-IL-60619/351781047_zpid/,8032 S Rhodes Ave #B,60619,1.0,1.0,1 bds | 1 ba | 700 sqft,41.748318,-87.61157
