ID,Station Name,Short Name,Total Docks,Docks in Service,Status,Latitude,Longitude,Location
1867617341378224632,Karlov Ave & Lawrence Ave,23107,15,15,In Service,41.967947,-87.730409,POINT (-87.730409 41.967947)
a3a7e69e-a135-11e9-9cda-0a87ae2ba916,Leavitt St & North Ave,TA1308000005,11,11,In Service,41.910533,-87.682308,POINT (-87.682308 41.910533)
1859717449875884116,Kedzie Ave & 66th Pl,23143,15,15,In Service,41.772584,-87.703007,POINT (-87.703007 41.772584)
1978529864027224986,Narragansett Ave & Montrose Ave,24364,16,16,In Service,41.959978,-87.786928,POINT (-87.786928 41.959978)
1866476160171649058,Damen Ave/Coulter St,PI00001,12,12,In Service,41.8492,-87.67564,POINT (-87.67564 41.8492)
1869052846885132442,Kedzie Ave & 73rd St,23136,15,15,In Service,41.760703,-87.702292,POINT (-87.702292 41.760703)
2024842594057769234,Burling St & Diversey Pkwy,13208,4,4,In Service,41.93314,-87.64776,POINT (-87.64776 41.93314)
a3a781a6-a135-11e9-9cda-0a87ae2ba916,State St & 29th St,13213,11,11,In Service,41.841707,-87.626938,POINT (-87.626938 41.841707)
1448642162257565286,S Wentworth Ave & W 111th St,,5,5,In Service,41.6926176,-87.6280518,POINT (-87.6280518 41.6926176)
a3b3915a-a135-11e9-9cda-0a87ae2ba916,Malcolm X College,631,19,19,In Service,41.877618,-87.673895,POINT (-87.673895 41.877618)
a3a7537c-a135-11e9-9cda-0a87ae2ba916,Wells St & Elm St,KA1504000135,23,23,In Service,41.903222,-87.634324,POINT (-87.634324 41.903222)
1594046379513303716,Sacramento Blvd & Fulton Ave,,9,9,In Service,41.886528,-87.70167,POINT (-87.70167 41.886528)
1968523931105227248,Weekend Night Parking Area A,,50,50,Not Installed,41.94629,-87.65568,POINT (-87.65568 41.94629)
a3b2a9e7-a135-11e9-9cda-0a87ae2ba916,Cottage Grove Ave & 83rd St,585,11,11,In Service,41.743441,-87.604836,POINT (-87.604836 41.743441)
a3b0e657-a135-11e9-9cda-0a87ae2ba916,Greenview Ave & Jarvis Ave,520,19,19,In Service,42.015962,-87.66857,POINT (-87.66857 42.015962)
a3a3b202-a135-11e9-9cda-0a87ae2ba916,Paulina Ave & North Ave,TA1305000037,15,15,In Service,41.9098546522,-87.66993016,POINT (-87.669930160046 41.909854652167)
a3a817dc-a135-11e9-9cda-0a87ae2ba916,Clifton Ave & Armitage Ave,TA1307000163,15,15,In Service,41.918216,-87.656936,POINT (-87.656936 41.918216)
1594046443937813244,Western Ave & Gunnison St,,9,9,In Service,41.969659,-87.68955,POINT (-87.68955 41.969659)
a3ac4a7c-a135-11e9-9cda-0a87ae2ba916,Stony Island Ave & 71st St,KA1503000045,11,11,In Service,41.7664929373,-87.5864608775,POINT (-87.5864608775 41.7664929373)
1436495109493626546,N Green St & W Lake St,,8,8,In Service,41.885579,-87.648484,POINT (-87.648484 41.885579)
1939906971867155378,Archer Ave & Homan Ave,24246,15,15,In Service,41.81153,-87.70885,POINT (-87.70885 41.81153)
1957713517347478034,Midway Orange Line,24289,23,23,In Service,41.78692,-87.73892,POINT (-87.73892 41.78692)
a3aca790-a135-11e9-9cda-0a87ae2ba916,Artesian Ave & Hubbard St,15664,27,27,In Service,41.8895,-87.688257,POINT (-87.688257 41.8895)
a3a46361-a135-11e9-9cda-0a87ae2ba916,Clark St & Ida B Wells Dr,TA1305000009,35,35,In Service,41.8759326655,-87.6305845355,POINT (-87.6305845355 41.8759326655)
a3ab86b6-a135-11e9-9cda-0a87ae2ba916,Wolcott Ave & Polk St,TA1309000064,23,23,In Service,41.871262,-87.673688,POINT (-87.673688 41.871262)
a3ac83bc-a135-11e9-9cda-0a87ae2ba916,Ashland Ave & Archer Ave,15442,15,15,In Service,41.839208684,-87.6656098589,POINT (-87.6656098589 41.83920868403)
a3b46866-a135-11e9-9cda-0a87ae2ba916,Rhodes Ave & 71st St,652,11,11,In Service,41.766,-87.611726,POINT (-87.611726 41.766)
1936565171921396140,Sacramento Ave & Pratt Blvd,24147,11,11,In Service,42.00404,-87.70473,POINT (-87.70473 42.00404)
2020461740735777052,Laflin St & 115th St,24431,16,16,In Service,41.68499,-87.65991,POINT (-87.65991 41.68499)
1594046413873042136,Sacramento Blvd & Addison St,,9,9,In Service,41.94609,-87.702988,POINT (-87.702988 41.94609)
a3a3dc37-a135-11e9-9cda-0a87ae2ba916,Fairbanks Ct & Grand Ave,TA1305000003,15,15,In Service,41.8918473721,-87.6205801964,POINT (-87.620580196381 41.89184737211)
1936582264492460636,Long Ave & Belmont Ave,21317,15,15,In Service,41.93833,-87.76166,POINT (-87.76166 41.93833)
1933998036428004326,Lawndale Ave & 30th St,21334,15,15,In Service,41.8389124,-87.7168955,POINT (-87.7168955 41.8389124)
1789242536879942642,Halsted St & Fulton St,23003,19,19,In Service,41.886871,-87.648089,POINT (-87.648089 41.886871)
a3a6de38-a135-11e9-9cda-0a87ae2ba916,Claremont Ave & Hirsch St,13245,11,11,In Service,41.907781,-87.685854,POINT (-87.685854 41.907781)
1963650659022207484,State St & 45th St,24374,15,15,In Service,41.81313,-87.62585,POINT (-87.62585 41.81313)
a3a53843-a135-11e9-9cda-0a87ae2ba916,LaSalle St & Washington St,13006,15,15,In Service,41.882664,-87.63253,POINT (-87.63253 41.882664)
1869786699581020630,Paulina Ave & 87th St,23122,15,15,In Service,41.735629,-87.66552,POINT (-87.66552 41.735629)
a3af368c-a135-11e9-9cda-0a87ae2ba916,Clark St & Bryn Mawr Ave,KA1504000151,15,15,In Service,41.983593,-87.669154,POINT (-87.669154 41.983593)
a3b1330c-a135-11e9-9cda-0a87ae2ba916,Kostner Ave & Lake St,536,11,11,In Service,41.885928,-87.73541,POINT (-87.73541 41.885928)
1932496568454183892,Central Ave & Altgeld St,23182,15,15,In Service,41.9258119,-87.7663685,POINT (-87.7663685 41.9258119)
1879439147302566804,Columbus Ave & 79th St,23128,11,11,In Service,41.749119,-87.704263,POINT (-87.704263 41.749119)
1582242315337619018,Kedzie Ave & 45th St,,6,6,In Service,41.8113904,-87.7040052,POINT (-87.7040052 41.8113904)
2057559901799078642,Edgebrook Metra,24499,16,16,In Service,41.99751,-87.76539,POINT (-87.76539 41.99751)
a3b419d9-a135-11e9-9cda-0a87ae2ba916,Wood St & Chicago Ave,637,15,15,In Service,41.895634,-87.672069,POINT (-87.672069 41.895634)
a3af9f99-a135-11e9-9cda-0a87ae2ba916,Albany Ave & Montrose Ave,15621,11,11,In Service,41.961041,-87.705866,POINT (-87.705866 41.961041)
56eccb5b-f4d7-43c5-b554-a6a0a7585e5e,Avenue O & 118th St,20218,15,15,In Service,41.6810014591,-87.5379312227,POINT (-87.537931222687 41.68100145911)
a3a95669-a135-11e9-9cda-0a87ae2ba916,Logan Blvd & Elston Ave,TA1308000031,27,27,In Service,41.929465,-87.684158,POINT (-87.684158 41.929465)
22afe78c-e8f7-4a80-969e-7ddeafdf49da,Halsted St & 104th St,20125,15,15,In Service,41.7051397889,-87.6424241066,POINT (-87.642424106598 41.705139788932)
1561012891600925250,Homan Ave & Fillmore St,,9,9,In Service,41.868114,-87.7109257,POINT (-87.7109257 41.868114)
a3b42f5f-a135-11e9-9cda-0a87ae2ba916,Central Park Ave & Bloomingdale Ave,18017,11,11,In Service,41.914166,-87.716755,POINT (-87.716755 41.914166)
1594046452527747848,Elston Ave & George St,,9,9,In Service,41.934003,-87.690823,POINT (-87.690823 41.934003)
a3b28b4a-a135-11e9-9cda-0a87ae2ba916,Phillips Ave & 79th St,579,11,11,In Service,41.75182,-87.565211,POINT (-87.565211 41.75182)
